Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
8,,Wed Jun 01 03:42:06 EDT 2022,HelloBarrier.java,1654069326973,121208,0,(F)1(I)1(F)2(I)1(R)1(I)1(R)1(I)3,54.54545454545454,0.0,0.0,27.27272727272727,18.181818181818183,0.0,0.09090909090909091,0.0,0.0,0.024793388429752067,0.0,0.01652892561983471,0.049586776859504134,0.0,[]
9,,Wed Jun 01 03:44:08 EDT 2022,HelloBarrier.java,1654069448272,100000,0,(I)3(R)2(I)6(I R)1,83.33333333333334,0.0,0.0,0.0,25.0,0.0,0.12,0.0,0.0,0.0,0.0,0.03,0.1,0.0,[]
10,,Wed Jun 01 03:45:47 EDT 2022,SumArray.java,1654069547054,173272,0,(R)1(I)2(D)1(I)2(F)3,44.44444444444444,11.11111111111111,0.0,33.33333333333333,11.11111111111111,0.0,0.05202312138728324,0.0,0.005780346820809248,0.017341040462427744,0.0,0.005780346820809248,0.023121387283236993,2.0,[]
11,,Wed Jun 01 03:48:40 EDT 2022,HelloBarrier.java,1654069720325,82080,0,(F)1(I)2(R)1(I)1(R)1(I)1,57.14285714285714,0.0,0.0,14.285714285714285,28.57142857142857,0.0,0.08536585365853659,0.0,0.0,0.012195121951219513,0.0,0.024390243902439025,0.04878048780487805,0.0,[]
12,,Wed Jun 01 03:50:10 EDT 2022,HelloBarrier.java,1654069810648,34005,0,(I)4(R)1(I)1(R)1(I)3,80.0,0.0,0.0,0.0,20.0,0.0,0.29411764705882354,0.0,0.0,0.0,0.0,0.058823529411764705,0.23529411764705882,0.0,[]
13,,Wed Jun 01 03:50:45 EDT 2022,HelloBarrier.java,1654069845409,9703,9703,(I)3(R)2(I)2(R)7(I)4,50.0,0.0,0.0,0.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,[]
14,,Wed Jun 01 03:50:55 EDT 2022,HelloBarrier.java,1654069855112,9309,9309,(R)2(I)8(R)7(I)6,60.86956521739131,0.0,0.0,0.0,39.130434782608695,0.0,2.5555555555555554,0.0,0.0,0.0,0.0,1.0,1.5555555555555556,0.0,[]
15,,Wed Jun 01 03:51:04 EDT 2022,HelloBarrier.java,1654069864879,14787,0,(R)4(I)7(R)7,38.88888888888889,0.0,0.0,0.0,61.111111111111114,0.0,1.2857142857142858,0.0,0.0,0.0,0.0,0.7857142857142857,0.5,0.0,[]
16,,Wed Jun 01 03:51:20 EDT 2022,Hello.java,1654069880585,50111,0,(I)6(F)4(I)3,69.23076923076923,0.0,0.0,30.76923076923077,0.0,0.0,0.26,0.0,0.0,0.08,0.0,0.0,0.18,0.0,[]
17,,Wed Jun 01 03:52:32 EDT 2022,SumArray.java,1654069952488,33969,0,(I)11(R)1(I)1,92.3076923076923,0.0,0.0,0.0,7.6923076923076925,0.0,0.3939393939393939,0.0,0.0,0.0,0.0,0.030303030303030304,0.36363636363636365,0.0,[]
18,,Wed Jun 01 03:53:23 EDT 2022,SumArray.java,1654070003015,12404,0,(I)13,100.0,0.0,0.0,0.0,0.0,0.0,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,1.0833333333333333,0.0,[]
19,,Wed Jun 01 03:53:43 EDT 2022,DiningPhil.java,1654070023756,14097,0,(I)4(R)4(I)8,75.0,0.0,0.0,0.0,25.0,0.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.2857142857142857,0.8571428571428571,0.0,[]
20,,Wed Jun 01 03:53:56 EDT 2022,DiningPhil.java,1654070036383,140873,0,(I)2(D)2,50.0,50.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.014285714285714285,0.0,0.0,0.0,0.014285714285714285,0.0,[]
21,,Wed Dec 31 19:00:00 EST 1969,DiningPhil.java,0,-1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
22,,Wed Dec 31 19:00:00 EST 1969,DiningPhil.java,0,-1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
23,,Wed Jun 01 03:56:44 EDT 2022,HelloDriver.java,1654070204210,197086,0,(I)1(F)1,50.0,0.0,0.0,50.0,0.0,0.0,0.01015228426395939,0.0,0.0,0.005076142131979695,0.0,0.0,0.005076142131979695,0.0,[]
24,,Wed Jun 01 04:00:01 EDT 2022,HelloDriver.java,1654070401303,9537,9537,(F)1(I)7(R)4(I)8,75.0,0.0,0.0,5.0,20.0,0.0,2.2222222222222223,0.0,0.0,0.1111111111111111,0.0,0.4444444444444444,1.6666666666666667,0.0,[]
25,,Wed Jun 01 04:00:11 EDT 2022,HelloDriver.java,1654070411027,7368,7368,(I)25,100.0,0.0,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,[]
26,,Wed Jun 01 04:00:18 EDT 2022,HelloDriver.java,1654070418817,10852,0,(I)24,100.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,2.4,0.0,[]
