#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested,SessionNumber,SessionRunNumber,IsSuite,SuiteTests,PrerequisiteTests,ExtraCreditTests,TestScores,FailFromPreReq,
3,Fri Apr 15 09:05:16 EDT 2022,0,0,SequentialSumTestCase, , ,SequentialSumTestCase , ,3,0,false, , , ,SequentialSumTestCase-(0.0/0.0) , ,
4,Fri Apr 15 16:18:30 EDT 2022,0,0,SequentialSumTestCase, , ,SequentialSumTestCase , ,4,0,false, , , ,SequentialSumTestCase-(0.0/0.0) , ,
5,Fri Apr 15 16:23:49 EDT 2022,0,0,SequentialSumTestCase, , ,SequentialSumTestCase , ,5,0,false, , , ,SequentialSumTestCase-(0.0/0.0) , ,
6,Fri Apr 15 17:08:47 EDT 2022,0,0,SequentialSumTestCase, , ,SequentialSumTestCase , ,6,0,false, , , ,SequentialSumTestCase-(0.0/0.0) , ,
7,Fri Apr 15 17:23:17 EDT 2022,0,0,SequentialSumTestCase, , ,SequentialSumTestCase , ,7,0,false, , , ,SequentialSumTestCase-(0.0/0.0) , ,
8,Fri Apr 15 18:27:23 EDT 2022,100,100,SequentialSumTestCase,SequentialSumTestCase+ , , , ,8,0,false, , , ,SequentialSumTestCase-(0.0/0.0) , ,
9,Fri Apr 15 18:33:16 EDT 2022,100,0,SequentialSumTestCase,SequentialSumTestCase , , , ,9,0,false, , , ,SequentialSumTestCase-(0.0/0.0) , ,
10,Fri Apr 15 18:56:02 EDT 2022,100,0,SequentialSumTestCase,SequentialSumTestCase , , , ,10,0,false, , , ,SequentialSumTestCase-(0.0/0.0) , ,
11,Sun Apr 24 13:24:37 EDT 2022,100,0,SequentialSumTestCase,SequentialSumTestCase , , , ,11,0,false, , , ,SequentialSumTestCase-(0.0/0.0) , ,
12,Sun Apr 24 13:24:46 EDT 2022,100,0,SequentialSumTestCase,SequentialSumTestCase , , , ,11,1,false, , , ,SequentialSumTestCase-(0.0/0.0) , ,
13,Sun Apr 24 17:53:15 EDT 2022,100,0,SequentialSumTestCase,SequentialSumTestCase , , , ,12,0,false, , , ,SequentialSumTestCase-(0.0/0.0) , ,
14,Sun Apr 24 18:49:40 EDT 2022,100,0,SequentialSumTestCase,SequentialSumTestCase , , , ,13,0,false, , , ,SequentialSumTestCase-(0.0/0.0) , ,
15,Sun Apr 24 19:30:56 EDT 2022,100,0,SequentialSumTestCase,SequentialSumTestCase , , , ,14,0,false, , , ,SequentialSumTestCase-(0.0/0.0) , ,
16,Sun Apr 24 19:31:56 EDT 2022,100,0,SequentialSumTestCase,SequentialSumTestCase , , , ,15,0,false, , , ,SequentialSumTestCase-(0.0/0.0) , ,
17,Sun Apr 24 19:34:49 EDT 2022,100,0,SequentialSumTestCase,SequentialSumTestCase , , , ,16,0,false, , , ,SequentialSumTestCase-(0.0/0.0) , ,
18,Wed Apr 27 20:34:55 EDT 2022,100,0,SequentialSumTestCase,SequentialSumTestCase , , , ,17,0,false, , , ,SequentialSumTestCase-(0.0/0.0) , ,
19,Thu May 05 15:35:47 EDT 2022,100,0,SequentialSumTestCase,SequentialSumTestCase , , , ,18,0,false, , , ,SequentialSumTestCase-(0.0/0.0) , ,
20,Thu May 05 15:55:47 EDT 2022,100,0,SequentialSumTestCase,SequentialSumTestCase , , , ,19,0,false, , , ,SequentialSumTestCase-(0.0/0.0) , ,
